14.8773059845, -4.67839384079, 260.0
23.0162620544, 6.0818977356, 260.0
28.3456878662,14.7418136597, 265.0
40.1586914062,33.080039978, 265.5
42.1722335815,46.6576881409, 275.0
48.4148597717,58.100440979, 275.0
54.247756958,75.9495773315, 295.0
57.3059005737,90.9964675903, 295.0
55.4794311523,96.0134124756, 345.0
52.4864044189,98.7852325439, 345.0
48.126121521,100.527931213, 5.0
44.4027175903,98.6399002075, 5.0
42.98279953,95.3282775879, 20.0
39.2690124512,87.9188766479, 20.0
36.2637176514,81.6704101562, 20.0
31.0522499084,74.6169281006, 20.0
26.7075061798,67.406463623, 30.0
23.9402389526,61.8556289673, 30.0
25.4246959686,55.9990882874, 123.0
33.6263809204,50.3501739502, 123.0
37.0800094604,47.3294639587, 100.0
41.3380699158,40.9048194885, 100.0
40.4696426392,34.6977958679, 20.0
15.5292415619,-4.66121959686, 20.0
10.2671537399, -4.18827295303, 350.0
6.27632141113, -1.24816513062, 350.0
0.937431812286,2.29643392563, 20.0
-1.24401569366, -0.888874530792, 20.0
2.31421470642, -5.69737005234, 100.0
7.13920974731, -9.10131263733, 140.0
11.3496379852,-8.7094039917, 170.0
