16.1363059845, -4.81839384079, 260.0,38.432085,-78.876298
23.0162620544, 6.0818977356, 260.0,38.431971,-78.876270
28.3456878662,14.7418136597, 265.0,38.431859,-78.876243
34.8512341234,24.9261234123, 265.0,38.431780,-78.876228
40.1586914062,33.080039978, 265.5,38.431677,-78.876198
43.8142335815,46.1226881409, 275.0,38.431574,-78.876133
48.4148597717,58.100440979, 275.0,38.431458,-78.876085 
51.3111231234,66.7781234123, 275.0,38.431383,-78.876054
54.247756958,75.9495773315, 295.0,38.431307,-78.875995
55.777123123,83.0371231234, 295.0,38.431269,-78.875973
57.3059005737,90.9964675903, 295.0,38.431197,-78.875903 
55.4794311523,96.0134124756, 345.0,38.431184,-78.875853
52.4864044189,98.7852325439, 345.0,38.431183,-78.875789
48.547121521,99.625131213, 5.0,38.431206,-78.875756
44.9447175903,98.3239002075, 5.0,38.431246,-78.875749
43.14979953,95.0492775879, 20.0,38.431277,-78.875766
39.2690124512,87.9188766479, 20.0,38.431349,-78.875789
36.1777176514,82.2654101562, 20.0,38.431394,-78.875802
31.0522499084,74.6169281006, 20.0,38.431468,-78.875819
26.7075061798,67.406463623, 30.0,38.431533,-78.875830
23.9402389526,61.8556289673, 30.0,38.431589,-78.875851
25.4246959686,55.9990882874, 123.0,38.431620,-78.875903
33.6263809204,50.3501739502, 123.0,38.431604, -78.876028
39.4230094604,45.9614639587, 100.0,38.431605,-78.876089
41.3380699158,40.9048194885, 100.0,38.431629,-78.876167
40.7896426392,37.0937958679, 20.0,38.431674,-78.876192
26.4061231234,13.0131231234, 20.0,38.431933,-78.876260
15.9812415619,-1.53821959686, 20.0,38.432076,-78.876305
8.20112141113, 1.92586513062, 350.0,38.432126,-78.876167
-1.046331812286,5.27793392563, 20.0,38.432145,-78.876081
-3.4774569366, 0.720944530792, 20.0,38.432174,-78.876086
0.69521470642, -2.44587005234, 100.0,38.432157,-78.876140
6.6612974731, -6.57631263733, 140.0,38.432135,-78.876280
11.3496379852,-8.7094039917, 170.0,38.432126,-78.876288
