14.8773059845, -4.67839384079
23.0162620544, 6.0818977356
28.3456878662,14.7418136597
40.1586914062,33.080039978
42.1722335815,46.6576881409
48.4148597717,58.100440979
54.247756958,75.9495773315
57.3059005737,90.9964675903
55.4794311523,96.0134124756
52.4864044189,98.7852325439
48.126121521,100.527931213
44.4027175903,98.6399002075
42.98279953,95.3282775879
39.2690124512,87.9188766479
36.2637176514,81.6704101562
31.0522499084,74.6169281006
26.7075061798,67.406463623
23.9402389526,61.8556289673
25.4246959686,55.9990882874
33.6263809204,50.3501739502
37.0800094604,47.3294639587
41.3380699158,40.9048194885
40.4696426392,34.6977958679
15.5292415619,-4.66121959686
10.2671537399, -4.18827295303
6.27632141113, -1.24816513062
0.937431812286,2.29643392563
-1.24401569366, -0.888874530792
2.31421470642, -5.69737005234
7.13920974731, -9.10131263733
11.3496379852,-8.7094039917
